"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24"
"KU12301_trichroa",-21.4068849831304,73.1775317038379,26.0894678322026,-13.4448080387095,-7.00724405648355,-9.13522994990996,-5.9825295178864,-9.02142170019926,0.799883276007176,0.624049863888875,-1.78098509809721,-2.43744371569777,1.49278732676229,5.65017938713001,0.154612100240709,-5.95926230292451,3.76669404181716,2.58744947921838,0.572082937247033,1.89729909952468,2.10551720824602,-0.535735194825208,-0.645540162001408,1.52472760979461e-13
"KU12846_trichroa",-8.026798848286,-4.54454199815542,4.17294252847496,-4.36355100388163,-1.38794595400366,0.161392017735047,3.88952608587565,-9.29392237670332,-10.1097061273565,-3.54304416241983,-1.70125817375869,-10.6204331578597,-5.84106497857356,0.653357555986686,5.55876609083702,37.0345865682184,-22.6714030786029,-24.5335657494197,40.9772508026014,23.8275539951837,-16.1030966910567,-13.3073373847295,6.6810224008387,3.16864156441055e-13
"KU16071_trichroa",-10.5854022619524,-14.1940590390137,8.56552566012714,-3.31407258489566,-0.519611084193652,1.83991049756952,12.2657758084503,-13.3418736752473,-25.3902627459261,-4.82032947620736,-9.55147969306713,-28.0974271014015,-50.4917567251355,-11.7440535690099,-11.6405667884336,-23.598205093215,13.1735817977665,7.02297509133238,-5.18525536591464,9.70885450856598,5.77236506565898,-6.89382040234259,-1.97377243646216,6.93033521195763e-13
"KU16075_trichroa",-15.1699369472575,-26.5590768915475,21.7882362593201,-30.3934710709781,-53.6352704423747,9.75773478277405,-22.330357398575,23.3760238749307,10.0389843505251,4.33193667320437,-2.91570728143061,9.21516487432897,1.64204086376543,6.61828984535057,1.7700033081765,-3.4120699699993,5.0159681826174,4.80118205192024,-0.0311753761696358,3.41153160211664,-0.799324274327386,-1.2902633575368,1.79039188140572,6.61047822383964e-14
"KU16086_trichroa",-7.55231637097659,-5.33399099119083,2.66024319445062,-3.651236712165,1.75366318232636,0.295643943996282,3.63600846969338,-11.9411352154147,-1.31177383237361,4.27250266587839,4.22908806669348,3.56529589866459,-4.06161104453729,-1.31593613394813,-4.49136743544313,5.17148625814403,-9.34545393344074,-20.5496794648845,-24.8518712108501,8.79244468573426,-20.2602630582188,59.8610372277936,0.938797234747944,-7.56299048994963e-14
"KU16234_trichroa",-11.5018661128814,-3.50142144370748,-1.27401325667235,-4.14141855251506,3.59923366650389,-4.34247575028176,1.20111017271202,-3.31194111246707,-4.03548566065596,-4.03366077091557,-5.16685312672701,-5.73041612694403,-0.566588905386096,-20.7490434510934,-2.33423129458119,43.9905064088797,14.938932370462,38.6870965565019,2.71705327178849,-35.3682246295138,-6.73889614968276,9.37266151750356,-1.073236205868,-6.49607321059897e-14
"KU32805_trichroa",-26.5292788436593,-1.09711720402656,-8.11983417295361,69.6138210622018,-21.5309447050606,-10.8039740856478,-14.3997467901061,-2.07585403318845,7.68746599983395,8.7744323564066,-13.0866706786409,5.53745387446763,-2.08720957340943,2.04357445026625,-4.35847805380178,-1.73453424065443,-3.05783947396137,0.712701240864261,-0.99589428454649,0.90250042775336,0.51499158680444,-2.64581057644075,2.9078379363491,-1.85918175386185e-14
"KU32819_trichroa",-16.3573605075949,-12.6073943321655,-2.0303029046091,5.09966256698831,-6.07458441234437,4.37517181979023,10.868398090042,-15.833767833379,-3.89008404969014,-21.9391812116056,26.2222944959078,-39.8176017522598,40.0944327063554,7.75980992773831,22.7988392516177,-15.1565055742042,3.20191941694291,4.59297185553822,-0.728156257095974,-1.6271446961687,5.99917961900788,1.94441734481719,1.89756005724761,3.48075084380395e-13
"KU34978_trichroa",-10.2788141143007,-3.69105670644477,1.65831877942897,-6.56769625174812,0.893074817418208,3.41822252509568,7.20175037517805,-5.46573455393585,-0.767861046876669,-5.38419139903382,-3.08128795177864,6.81525444740723,-2.62993836093533,-4.43212923382343,2.79958792786563,13.4636018344863,-6.80921762857857,-43.9093991985822,-31.0339737305984,-33.662334016319,21.9994900714931,-23.6859417165011,2.91030188281221,-4.44574661372793e-14
"KU35027_trichroa",-6.8919610671792,-7.70458327033584,-2.51588436196005,-6.10177198275198,-1.88230299200253,2.2559529263601,14.2424269667943,-36.9855700444537,2.16856366673546,18.3856384294934,25.9674071091042,43.5410376528245,5.85189675674139,-29.7930092137792,3.39299490407537,-14.0697847860993,-0.454124092477225,9.61130181617081,9.86406886068304,7.65294471083009,4.26900117378974,-8.94654095202648,-2.3388774681638,-8.70227826431369e-14
"YPM151447_trichroa",-9.87507978450398,-3.89428317442082,1.75686994285869,-1.58993797086268,14.0233979221947,13.9461673171296,30.4999065883938,2.96243292789098,34.5964379714907,-43.0910036609553,-32.0481458042601,19.6872156895695,1.84332238921025,9.10473623830616,-6.20205239219428,-8.55839078436741,2.56612428255177,5.9935214024684,7.19037911460756,6.28974294128484,-2.40651538236643,1.63615976500408,1.09734708490466,-6.11409523270517e-14
"YPM151458_trichroa",-13.0524462877333,7.62135370600211,-3.03468967802312,5.84920934191454,7.14898434831628,21.5931022598325,42.4603031330643,45.862699206126,-17.8135635970561,32.702148917956,5.61828650183394,-0.66468901774691,12.3244192506746,0.261161700387344,-8.70187566886518,-0.468176056337927,0.351451127639372,2.08351759056544,-1.74336219093379,4.27123728207191,-2.46652583361924,-2.7459357801797,-0.404941013720632,3.16167448125015e-14
"YPM151575_trichroa",-17.8970166742874,-20.6004873987585,18.1800511597483,-7.70361387967924,38.9492202742381,-55.5339459959123,-13.1978856720013,20.6463295884232,-3.77822634408623,2.38127413927606,2.39787993664488,8.2271734736227,7.18873821380676,4.62807196451465,2.57126492063034,-9.36630547118517,2.89355179798053,-1.01798431839637,2.31635155435937,3.92252062764012,1.29406929404529,-2.99247820716627,-0.288019486805501,3.50170792969701e-13
