"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27"
"KU16064_papuana",-7.09723655425608,-11.5791956255274,-9.68284184437912,8.83217821910095,-19.6627184312106,-0.634589208115442,-1.29033040752574,-0.770406268046168,-7.14616571044054,8.67161402739149,-24.9907005930571,-42.8889438963216,5.47886598328403,-18.7609106871849,-14.6661205215499,5.25204482481235,-44.8297848875773,2.37392495780436,6.78790554606127,5.26296435838286,5.68822768148099,-4.81483268504543,-3.46742096423226,12.9682255181534,-4.50469728479656,-1.94058898628401,-2.73746953924348e-14
"KU16071_trichroa",-3.2984088030762,1.1094600304079,8.66956476458709,-13.0016991369868,10.442877741967,-4.47687013176292,-0.130168917588857,1.01997571695289,1.87631761679094,-12.9680237946169,12.0358739669564,24.4505166533857,4.72425540554777,8.1138498375331,-41.6598660770722,39.9473663316409,-18.0282001485757,-12.9692939581214,21.2906956480813,-12.4997135908783,-9.58726418294334,-5.77837297707238,-9.71626774865259,-5.23419619841042,-7.71355978253093,2.05454058922957,4.29409112434609e-15
"KU16075_trichroa",-3.07817363413793,-0.281502131864122,13.4867973668168,-25.784997437796,24.7403721344622,-30.4425280573202,-23.631903383617,49.5367127505741,6.59734185929418,21.3453251846368,-21.6982906790253,-10.0898303575852,-4.72032836305517,3.55888954302463,8.95189344620964,0.888238905260154,8.53704234762353,1.2425801889739,3.05175202163091,-4.51598528081581,-5.60544865678039,-0.665302474430734,-3.21980422749027,1.06425318603187,-1.2885920317407,-1.78423251784272,-5.32060628736543e-13
"KU16086_trichroa",-4.24465033510951,-0.802141748876797,7.26571269244327,-5.41523521864464,3.89558466753416,-3.97310038039287,0.610111142676781,-1.77387960831743,-0.162304439122833,-3.67957575193548,11.6195427583469,1.5112305169252,-2.94322659203733,-4.28513166294598,1.62713700045968,5.88852569131029,-0.968307766081697,-5.03541745518173,-4.91396156508878,6.57913604641157,22.3239721775107,-25.1920675308053,-5.20970073339914,13.7613257979642,61.9882260210875,-1.13349374595705,-4.61597204686956e-13
"KU16234_trichroa",-3.39704032566328,1.41257959225088,10.3349600101302,-4.15064994872496,-0.814333067864021,-4.13339977706628,-0.96190444549304,-4.60350851862685,-3.81557779590814,-1.27293447730359,2.91798799477312,3.35530347124316,3.29640351617812,4.83395143157834,-2.42668037386607,-0.204653823870518,-19.882621256269,-1.99445285293783,-45.3251738628939,-7.4499814593392,-40.0774314697339,6.57994800591455,35.9634311847062,1.89846670512184,10.8827107268683,0.937721170950099,-2.94147302001835e-13
"KU16434_papuana",-6.0900963119876,-10.0056246315445,-11.6842514056765,-1.56612701742614,-5.9907339558427,-5.61733355307101,-1.24369001838714,0.953070027630939,-2.05838851642831,2.11517445966029,4.92593205133407,1.69604960499003,-7.27074536430306,-1.19948103255106,-7.9077113475677,-1.73623585467486,14.2898221240184,-23.8945562235286,30.9716219741578,29.7582648369562,2.95842387737307,29.0691859856438,40.768565956277,11.1059265533569,5.48902173018944,-8.19436296101637,-1.37674702367641e-15
"KU23619_trichroa",123.701735167211,-2.45796454929861,-2.91767405837886,0.263266263045234,-1.80112328364479,0.361108734998445,0.274528794234198,-0.803902588769416,-0.315349969117347,0.536727867879186,-0.9796995906902,-0.630136970955042,-0.512921077077145,0.0858198037270596,0.4377628705727,0.45344864917052,0.295440946874681,-0.238305124955142,0.416313972138145,0.854160741293867,-0.359728651798247,-0.232789008499394,-0.462881054136316,-0.269387646661173,0.0788679246628416,0.0936553094646867,-4.57632087606796e-13
"KU32805_trichroa",-4.1420616610743,-0.0314041534478359,28.0185841005932,-5.83197206393347,-2.90359358547285,68.318433804803,5.18700583175414,22.9511107639449,-14.7608995278269,13.37128973763,4.38878229194629,-7.30845870445629,-9.28407247517763,12.3886045938516,4.00640549954386,3.53090535876554,2.17931237362254,-4.60705698924807,1.73437813513634,3.63494144923177,-0.797979209187879,-0.715784134147817,-1.01939436848768,-0.147855965594975,-2.82332523069232,-2.9172775485381,9.30958462446244e-14
"KU32819_trichroa",-2.45953164920003,-0.0739033455131123,15.5200624396365,-14.8166687913502,0.353703352336859,4.99915443655036,-3.16952273799568,4.53472203433637,3.90220916474242,-10.5105506161716,13.7194039386961,5.70871327350341,22.9861612267769,-24.0909549705613,-26.6772403777739,-50.3313733744281,0.862007684972679,25.9413242887652,14.4456338696949,-3.19033104530619,-4.62889723223798,-1.63695878021584,1.40044152449195,-6.46875711028513,1.92914565136759,-2.04283964886753,1.15898244235253e-13
"KU34978_trichroa",-3.38492222648317,-2.55813532983883,10.9226757443707,-4.77073966323255,2.56713216765066,-6.43365930574605,-0.784584980300353,-1.07989353342897,3.57459334184519,-6.83695857255491,5.60236896813358,1.5970280193623,5.42519515422091,3.19681739609842,4.76441984922977,5.25320117307018,-4.30103483846029,2.58513001327988,-15.8480911657826,2.69570911739807,46.5143549352409,-25.5423407246298,33.4119033155193,-19.8857088642479,-27.0995829711941,-2.89629006823606,-5.60745352061465e-13
