rep	ll	param	est	se	ci_low	ci_high
15	-2242.020462745571	nu2	2.286926653079192	1.63481430349286e-07	2.286926332655588	2.2869269735027955
15	-2242.020462745571	T1	0.025100603453293353	8.956619129511127e-09	0.02510058589831986	0.025100621008266846
15	-2242.020462745571	T2	0.03659101511514139	1.106491244744624e-09	0.03659101294641855	0.03659101728386423
15	-2242.020462745571	m12	0.0012744867784680548	2.496344200079573e-06	0.0012695939438358988	0.0012793796131002108
15	-2242.020462745571	m21	0.003455255090304431	3.2865445323487854e-05	0.003390838817470395	0.003519671363138467
16	-2241.951801333132	nu1	5.07076317785338	5.385895801334989e-05	5.0706576142956745	5.070868741411086
16	-2241.951801333132	nu2	2.2858120115985443	5.893170118006208e-05	2.2856965054642315	2.285927517732857
16	-2241.951801333132	T1	0.0001	8.413612256070086e-07	9.835093199781027e-05	0.00010164906800218974
16	-2241.951801333132	T2	0.061698054905161975	3.174294425832433e-07	0.06169743274345451	0.06169867706686944
16	-2241.951801333132	m12	0.0010691042079058392	5.699687689795091e-06	0.0010579328200338409	0.0010802755957778376
16	-2241.951801333132	m21	0.010155850655103799	0.0003349678178229738	0.00949931373217077	0.010812387578036826
17	-2242.2284488469795	nu1	5.069800673465623	6.888220481344463e-06	5.069787172553479	5.0698141743777665
17	-2242.2284488469795	nu2	2.2876326722448397	7.58379716055836e-07	2.287631185820596	2.2876341586690834
17	-2242.2284488469795	T1	0.061672920914114096	1.2778311121494984e-07	0.061672670459216115	0.06167317136901208
17	-2242.2284488469795	T2	0.0001	2.6051973844928633e-09	9.99948938131264e-05	0.00010000510618687361
17	-2242.2284488469795	m12	0.0004126839345836356	0.010078308327745068	-0.019340800387796696	0.02016616825696397
17	-2242.2284488469795	m21	0.0006297004186894222	0.015735842905331636	-0.030212551675760584	0.03147195251313943
18	-2242.105394396839	nu1	5.100047213910995	2.6263303430850645e-05	5.09999573783627	5.100098689985719
18	-2242.105394396839	nu2	2.272919216173143	2.85177678090845e-07	2.272918657224894	2.272919775121392
18	-2242.105394396839	T1	0.02727027793230107	2.5218312987817017e-09	0.027270272989511724	0.027270282875090413
18	-2242.105394396839	T2	0.03444729190958164	7.43402373761168e-08	0.03444714620271638	0.03444743761644689
18	-2242.105394396839	m12	0.0004925690851428429	5.981469740890087e-05	0.0003753322782213971	0.0006098058920642886
